TT I
1.2716486653135266 7.285489999999999
1.2939594142134223 7.639289999999999
1.3162702121660406 7.102289999999999
1.3385810600174564 6.772069999999999
1.3608919586137629 7.51014
1.383202908801069 6.762589999999999
1.405513911425503 6.04495
1.4278249673332093 6.19911
1.4501343378461518 6.59438
1.4724455028545926 6.27073
1.4947567236847858 6.691960000000001
1.517068001182951 6.49367
1.5393793361953272 5.62038
1.5616907295681737 5.7022900000000005
1.5840021821477681 5.4515
1.60631369478041 5.39374
1.6286252683124185 5.72682
1.6509369035901333 4.82602
1.6732468618895553 5.41999
1.695558623192809 4.9716
1.7178704487808514 5.51395
1.7401823395001077 5.00718
1.7625012545597203 4.99277
1.7848028405262486 4.95377
1.8071218901122095 5.21287
1.8294236121921872 5.1474
1.8517427996910911 4.28308
1.8740620574440425 4.64206
1.8963639900671978 4.5560599999999996
1.9186833908139995 4.78247
1.9409854680117449 5.00745
1.9633050151394713 4.97891
1.9856246367570705 5.251
2.0079269371922672 4.518759999999999
2.03024671027244 5.092280000000001
2.0525491637446027 4.92556
2.074869091674931 4.725
2.097171701569106 4.9572199999999995
2.1194917877373847 5.13002
2.141811954326636 4.95047
2.164114805233074 5.31966
2.186435135143035 6.50812
2.208738150935709 15.6056
2.231058647554722 34.093
2.2533792288321184 26.1178
2.275682498336085 10.9534
2.298003251406138 6.23744
2.3203066942619714 5.4435
2.3426276225136022 5.54295
2.3649486396617507 5.257569999999999
2.387252348930071 5.2773900000000005
2.4095735463442893 4.92765
2.4318774374315884 5.45902
2.4541988185014043 5.64198
2.476502894794693 5.937819999999999
2.498824462909887 6.07672
2.521146125856138 6.005330000000001
2.5434504863470337 6.76737
2.5657723414244717 7.19742
2.588076895590662 7.9829300000000005
2.610398946189713 7.266380000000001
2.6327210958598384 7.1380300000000005
2.6550259469304716 7.205710000000001
2.6773482972090137 7.25115
2.6996533504259 7.558110000000001
2.7219759047039602 8.036019999999999
2.744298562293959 7.562069999999999
2.7666039251246595 6.91335
2.7889267918020164 7.1048
2.8112323652516555 7.97566
2.833555444408179 8.121260000000001
2.8558786311183852 8.28941
2.8781845268938557 8.35697
2.9005079311721484 8.72385
2.9228140460410397 8.92377
2.9451376712799635 8.83708
2.967444008632326 8.71774
2.9897678582247247 9.52581
3.0120918213106695 10.2534
3.0343984987899373 10.6539
3.0567226913198637 10.9644
3.079029599759726 11.5359
3.101354025127254 11.937999999999999
3.123678568232338 12.6265
3.145985829517914 12.8463
3.16831061055229 13.5293
3.1906181112775593 14.0261
3.212943133635653 14.5232
3.2352682779763207 14.9277
3.2575761442691227 15.3724
3.2799015350264273 15.6327
3.302209649240067 16.2512
3.3245352898092655 16.6064
3.3468436553365257 17.7513
3.369169549113219 17.942999999999998
3.3914955708171384 19.1833
3.413804319727358 19.0128
3.4361305997334863 19.524
3.4584396084414553 19.8755
3.4807661501462652 20.4218
3.503092824025881 21.2855
3.5254022288463154 21.3059
3.5477291695206588 22.0493
3.5700388426251948 23.0118
3.5923660534916446 24.6691
3.6146934007816114 42.1951
