TT I
1.2716486653135266 7.87674
1.2939594142134223 7.41259
1.3162702121660406 7.146160000000001
1.3385810600174564 6.8212
1.3608919586137629 6.30925
1.383202908801069 6.37226
1.405513911425503 6.09251
1.4278249673332093 5.81365
1.4501343378461518 5.95642
1.4724455028545926 6.0532
1.4947567236847858 5.78929
1.517068001182951 5.26609
1.5393793361953272 5.5166900000000005
1.5616907295681737 5.78779
1.5840021821477681 4.67627
1.60631369478041 5.10342
1.6286252683124185 5.26733
1.6509369035901333 4.9629900000000005
1.6732468618895553 4.90194
1.695558623192809 5.22769
1.7178704487808514 5.24061
1.7401823395001077 4.71205
1.7625012545597203 4.72591
1.7848028405262486 4.95276
1.8071218901122095 5.06347
1.8294236121921872 4.8419099999999995
1.8517427996910911 4.84186
1.8740620574440425 5.16383
1.8963639900671978 4.66741
1.9186833908139995 4.96154
1.9409854680117449 4.70883
1.9633050151394713 4.88895
1.9856246367570705 4.04148
2.0079269371922672 4.75057
2.03024671027244 4.6716
2.0525491637446027 4.5016099999999994
2.074869091674931 4.8383
2.097171701569106 4.89269
2.1194917877373847 4.74897
2.141811954326636 4.94805
2.164114805233074 5.22093
2.186435135143035 6.1001199999999995
2.208738150935709 12.9951
2.231058647554722 25.5627
2.2533792288321184 20.0012
2.275682498336085 10.0819
2.298003251406138 6.47706
2.3203066942619714 5.52231
2.3426276225136022 5.42634
2.3649486396617507 5.90046
2.387252348930071 6.30818
2.4095735463442893 5.78978
2.4318774374315884 6.071280000000001
2.4541988185014043 6.33136
2.476502894794693 7.6292800000000005
2.498824462909887 7.337610000000001
2.521146125856138 7.117210000000001
2.5434504863470337 7.63943
2.5657723414244717 7.59225
2.588076895590662 8.164719999999999
2.610398946189713 8.44128
2.6327210958598384 7.41241
2.6550259469304716 7.59179
2.6773482972090137 8.03052
2.6996533504259 7.81233
2.7219759047039602 8.028089999999999
2.744298562293959 8.51253
2.7666039251246595 7.610869999999999
2.7889267918020164 7.57574
2.8112323652516555 8.51415
2.833555444408179 8.52698
2.8558786311183852 7.737260000000001
2.8781845268938557 8.84944
2.9005079311721484 9.10464
2.9228140460410397 8.83648
2.9451376712799635 9.19994
2.967444008632326 9.24145
2.9897678582247247 10.152000000000001
3.0120918213106695 10.3352
3.0343984987899373 11.411
3.0567226913198637 10.8871
3.079029599759726 11.5459
3.101354025127254 12.290999999999999
3.123678568232338 12.5378
3.145985829517914 12.3739
3.16831061055229 13.3421
3.1906181112775593 14.3478
3.212943133635653 14.8493
3.2352682779763207 14.9998
3.2575761442691227 15.3071
3.2799015350264273 15.4905
3.302209649240067 16.0924
3.3245352898092655 16.4018
3.3468436553365257 17.1813
3.369169549113219 17.6277
3.3914955708171384 18.3347
3.413804319727358 19.1748
3.4361305997334863 18.4982
3.4584396084414553 19.7909
3.4807661501462652 20.4457
3.503092824025881 20.7934
3.5254022288463154 20.9365
3.5477291695206588 21.366
3.5700388426251948 22.2943
3.5923660534916446 23.8156
3.6146934007816114 37.5142
3.637003482731501 82.8719
3.6593311053109985 90.2464
3.681641464033634 52.9154
3.7039693653009733 30.0795
3.726297407241705 26.3312
3.7486081875460804 25.8217
3.7709365132734978 26.2899
3.793247578841633 26.5927
3.8155761917550093 26.7908
3.8378875459837216 27.4161
3.8602164494827234 27.7063
3.882545499606844 28.0514
3.9048572932539183 28.8211
3.9271866390645718 29.3192
3.9494987298666713 29.79
3.971828374764527 30.4755
3.9941581705403255 30.904
4.016470713506008 31.5991
4.038800813471445 32.188
4.061113662089144 32.853
4.0834440696459176 33.496
4.105774632334751 33.5865
4.128087945865126 34.7355
4.150418821249301 35.2863
4.172732448931298 36.7847
4.195063640413578 38.5927
4.2173775856475215 42.4106
4.239709096631102 71.6238
4.262040768704612 219.86
4.284355196706267 290.922
4.306687193387355 187.481
4.329001947444346 76.5673
4.35133427213731 47.4286
4.373666762177566 44.093
4.395982011761091 44.4902
4.418314834921175 45.9621
4.44063041906622 53.1569
4.4629635787515625 62.625
4.4852969080429785 62.2804
4.5076130004776225 53.2236
4.529946671403969 50.1969
4.552263106909177 50.1849
4.574597122877047 50.8803
4.596931312711224 52.2293
4.619248269273446 53.2974
4.6415828092605835 54.3779
4.663900117405352 55.6183
4.686235010953232 56.994
4.708552674085913 58.012
4.730887924602802 59.3731
4.753223354952695 60.9621
4.775541557023902 62.8647
4.797877349456786 63.8574
4.820195915032126 66.1561
4.842532072957498 67.7576
4.864868414979744 69.4594
4.88718753227192 71.4885
